milestone	domain	a10_current_owner	a10_clean_owner	a10_cleanup_exit	a10_validation	a11_owner	a11_dependencies	a11_platform_exit	status	evidence
M0	baseline-oracle	workspace+device+kernel+vendor dirty state	tools/seal-local-source-state.sh	four-repo dirty state sealed before cleanup	hashes+binary diffs+untracked archive	pro5-android11/docs/lineage17-migration-map.tsv	A10 evidence only	none	facts-sealed	evidence/m0-a10-dirty-oracle-20260810-pre-cleanup
M1	boot-chain	device Samsung-common inheritance+kernel	device/meizu/m86/BoardConfigPlatform.mk+BoardConfig.mk+kernel	no Samsung common BoardConfig inheritance; TARGET_DEVICE_IS_M86 scan debt tracked to M4	bootimage header+kernel+ramdisk audit; six warm reboots passed; repeated cold boots pending	device/meizu/m86+kernel/meizu/m86	M1 A10 device gate	no Samsung A11 device/common patch	cleanup-built	evidence/m1-device-20260811/README.md
M1	partition-dtb	device Android.mk+worker post-build rewrite	m86 hash-locked stock derivation+build-graph target+releasetools	one production DTB owner; TEE uses stock DTB and raw-navigation changes only SPI4 secure-mode to FDT_NOP	stock DTB Android 13 boot passed; disabling FIMC-IS sensor2/3 caused an early reboot loop; raw-FPC derived flash pending	device/meizu/m86/releasetools	boot-chain	no platform releasetools patch	cleanup-planned	stock evidence: evidence/m1-device-20260811/README.md
M1	ramdisk-adb	generic init+init.m86.usb.rc+system/core patches	device/meizu/m86/rootdir+usb identity helper	one fstab destination and one basic ADB state owner	500MiB hashes passed; cold ADB+20 reconnects pending	device/meizu/m86/rootdir+usb	partition-dtb	no system/core adbd patch	cleanup-built	evidence/m1-device-20260811/README.md
M2	graphics-display	device+Samsung Exynos source+vendor blob family	device/meizu/m86/graphics+hardware/meizu/m86/graphics	one allocator/mapper/composer and one source-owned SONAME family	37-ELF owner+UI+operator touch+brightness+rotation+panel suspend/resume+buffer video passed	hardware/meizu/m86/graphics+device fragments	M1	no Samsung common/HWC/RUNPATH modification	device-passed	evidence/m2-device-20260811/README.md
M3	storage	device fstab+frameworks/base global patch	device/meizu/m86/storage/rootdir	product policy replaces global isolated-storage patch	mount+encryption+microSD+large I/O pending	device/meizu/m86/storage	M2	no frameworks/base storage patch	cleanup-built	20260812 testzip M3 target-files passed; runtime pending
M3	usb-mtp	device rootdir+usb helper+system/core patches	device/meizu/m86/usb	identity API does not own Bluetooth start	ADB+MTP/PTP+20 reconnects+500MiB hashes pending	device/meizu/m86/usb	storage	no system/core adbd patch	cleanup-built	20260812 testzip M3 target-files passed; runtime pending
M3	standard-keys	kernel input+device keylayout	device/meizu/m86/input	power/volume/fts owners independent; gpio HOME scan102 handed to mBack policy	getevent+power+volume+home+wake pending	device/meizu/m86/input	usb-mtp	none	cleanup-built	20260812 testzip M3 target-files passed; runtime pending
M3	mback	device keylayout+frameworks/base+lineage-sdk+LineageParts	device/meizu/m86/parts+kernel raw AP navigation+hash-locked DT derivation	no platform/LineageParts/fingerprint-process dependency; raw and TEE mutually exclusive	203107 proved handler but no producer; raw probe+four gestures+disabled HOME+navbar persistence+keyguard pending	device/meizu/m86/parts+kernel/meizu/m86	standard-keys	no frameworks/base,lineage-sdk,LineageParts patch	cleanup-built	20260812 raw-FPC DTB/kernel/M3 target-files passed; runtime pending
M4	wifi	device monolithic init+legacy HIDL+vendor firmware	device/meizu/m86/wifi+vendor firmware	one service/init/VINTF/firmware owner	scan+2.4/5GHz+reconnect+hotspot+P2P pending	device/meizu/m86/wifi	M3	unmodified platform service	cleanup-built	20260812 testzip Wi-Fi target-files passed; runtime pending
M4	bluetooth	device service+Samsung-common address patch+USB trigger	hardware/meizu/m86/bluetooth+device ueventd	Bluetooth owns start; stable identity is an input only	address+pairing+file+audio+flight+suspend pending	hardware/meizu/m86/bluetooth	wifi+M3 identity	no Samsung common Bluetooth patch	cleanup-built	20260812 testzip Bluetooth target-files passed; post-cleanup runtime pending
M4	radio	AOSP rild+Flyme SITRIL+Samsung-common rild filter	hardware/meizu/m86/radio+device rc+vendor SITRIL	unused rild_exynos/radiooptions_exynos absent from default product; module names are unique	dual-SIM+SMS+data+call-state pending	hardware/meizu/m86/radio	bluetooth	no Samsung common rild patch	cleanup-built	20260812 testzip radio target-files passed; runtime pending
M5	normal-audio	vendor HAL+global libhardware,interfaces,frameworks patches	device/meizu/m86/audio policy+hardware/meizu/m86/audio private ABI	Flyme ABI locked privately; wrapper owns public device/output/input, headphone unity, and 64-bit raw is inventory-only	speaker+receiver+mic+wired+BT+call audio pending	hardware/meizu/m86/audio	M4	no framework headphone-volume hook; framework stream volume is the only user attenuation	cleanup-built	20260812 wrapper-only volume normalization build/runtime pending
M5	hifi	frameworks+Settings patches+vendor HAL	M86Parts Global policy+hardware/meizu/m86/audio wrapper	No AudioService, AudioFlinger, or Settings HiFi patch; wrapper persists and restores state/gain	ES9018 modes+route/reopen/restart+low-volume regression pending	device/meizu/m86/parts+hardware/meizu/m86/audio	normal-audio	wrapper and M86Parts own the complete Global→HAL contract; no global HiFi special case remains	cleanup-built	static owner contract; final build/runtime pending
M6	lights	device local HAL+generic service	device or hardware/meizu/m86/lights	module owns init+VINTF fragment	backlight+LED+suspend pending	hardware/meizu/m86/lights	M2	unmodified generic wrapper	cleanup-planned	build/static evidence only
M6	vibrator	generic service+unused vendor immvibed	device explicit service selection	unused immvibed absent	patterns+continuous+suspend pending	device/meizu/m86/vibrator	M5	unmodified generic wrapper	cleanup-planned	build/static evidence only
M6	power	device local HAL+unused march_hotplug	device or hardware/meizu/m86/power	power change independent from fingerprint DTS	interaction+battery saver+charge+temperature+suspend pending	hardware/meizu/m86/power	M5	unmodified generic wrapper	cleanup-planned	build/static evidence only
M6	sensors	vendor HAL+generic service+duplicate rc	m86 sensors service with module rc+fragment	one executable/init/VINTF owner	declared sensors+batch+flush+rotation+suspend pending	hardware/meizu/m86/sensors	M5	unmodified dependencies	cleanup-planned	build/static evidence only
M6	gnss	vendor gpsd/HAL+generic wrapper+global SDK override	hardware/meizu/m86/gnss wrapper+device fragment	legacy boundary and SDK override scoped to wrapper	cold/warm fix+accuracy+AGPS+flight+suspend pending	hardware/meizu/m86/gnss	M4 radio	unmodified platform service	cleanup-planned	build/static evidence only
M7	media-omx	32+64 vendor OMX+32-bit shim+all extractors	hardware/meizu/m86/media+selected vendor closure	one audited bitness; optional extractors deferred	ByteBuffer codec/4K/16-instance matrix passed; Exynos consumer Surface is zero-frame with mapper lock failures; unregistered XML and inert Flyme extensions remain	hardware/meizu/m86/media	M2+M5	no Samsung RUNPATH modification	cleanup-planned	evidence/m7-codec-device-20260813/README.md
M7	camera	32-bit vendor HAL+global provider binder patch	hardware/meizu/m86/camera provider+shim+fragment	provider owns binder boundary; no global patch	front/rear+photo+record+AF+torch+rotation+reopen pending	hardware/meizu/m86/camera	media+M2+M5+M6 sensors	no hardware/interfaces camera patch	cleanup-planned	build/static evidence only
M8	nfc-experiment	optional PN547 product fragment	default lineage_m86 plus NFC-only rollback product	one NXP 1.1 service/config/firmware owner; eSE remains disabled	reader polling works; physical tag+HCE+restart+suspend pending	m86 default product	M7	config-gated NXP eSE bridge patch for reader/HCE only	cleanup-built	evidence/nfc-routing-debug-20260814/README.md
M8	fingerprint-experiment	optional Trustonic product fragment	default lineage_m86 plus fingerprint-only rollback product	TEE-only defconfig+secure DTB+one ABI wrapper/provider/gatekeeper owner	enroll/auth passed; reject+lockout+multi-user+soak pending	m86 default product	M3 mBack+M7	no external/glib/raw fingerprint HAL in integrated product	device-passed	work/fp-cancel-callback-20260815-132502
M8	enforcing-release	kernel permissive+partial device policy	per-domain policy then release consolidation	permissive removed; no critical denial or crash loop	neverallow+FDE+soak+five cold boots+rollback pending	m86 per-domain sepolicy	all prior milestones	no donor policy	cleanup-planned	build/static evidence only
